,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Muros,ES,42.7762,-9.0603,62.15,69,58,14.34,broken clouds
81,Jasper,US,37.2001,-94.3502,43.56,84,40,6.91,scattered clouds
82,Sterling,US,39.0062,-77.4286,44.74,61,0,0.0,clear sky
83,Sarandi,BR,-23.4436,-51.8739,74.75,88,40,10.36,scattered clouds
84,Lebu,CL,-37.6167,-73.65,60.78,78,12,10.56,few clouds
85,Muroto,JP,33.2833,134.15,65.98,68,0,15.9,clear sky
86,Talnakh,RU,69.4865,88.3972,-26.97,97,78,1.52,broken clouds
87,Caravelas,BR,-17.7125,-39.2481,79.72,71,100,4.5,overcast clouds
88,Samarai,PG,-10.6167,150.6667,83.75,77,15,13.18,few clouds
89,Ahipara,NZ,-35.1667,173.1667,60.01,81,0,14.83,clear sky
90,Wanning,CN,18.8003,110.3967,77.63,91,84,3.06,broken clouds
91,Valparaiso,CL,-33.0393,-71.6273,66.99,91,100,8.05,fog
92,Husavik,IS,66.0449,-17.3389,36.99,78,85,24.32,overcast clouds
93,Buchanan,LR,5.8808,-10.0467,85.71,62,100,7.85,overcast clouds
94,Tocopilla,CL,-22.092,-70.1979,69.15,66,100,6.93,overcast clouds
95,Ishigaki,JP,24.3448,124.1572,73.53,88,100,12.66,mist
96,Ayorou,NE,14.7308,0.9174,94.66,8,7,15.93,clear sky
97,Souillac,MU,-20.5167,57.5167,80.98,69,40,11.5,smoke
98,Kruisfontein,ZA,-34.0033,24.7314,76.41,49,6,21.92,clear sky
99,Butaritari,KI,3.0707,172.7902,81.3,73,100,7.4,overcast clouds
100,Castro,BR,-24.7911,-50.0119,71.46,78,42,7.16,scattered clouds
101,Sur,OM,22.5667,59.5289,80.42,59,99,8.3,overcast clouds
102,Beringovskiy,RU,63.05,179.3167,5.16,90,100,3.96,light snow
103,Honavar,IN,14.2833,74.45,77.09,84,100,1.72,overcast clouds
104,Yellowknife,CA,62.456,-114.3525,25.32,100,100,9.22,light snow
105,Lorengau,PG,-2.0226,147.2712,82.11,76,75,8.9,broken clouds
106,Qaanaaq,GL,77.484,-69.3632,19.24,82,100,4.79,overcast clouds
107,Geraldton,AU,-28.7667,114.6,63.01,77,75,5.75,broken clouds
108,Saskylakh,RU,71.9167,114.0833,-38.2,100,87,1.74,overcast clouds
109,Jamestown,US,42.097,-79.2353,33.39,80,0,5.75,clear sky
110,Hamilton,US,39.1834,-84.5333,37.94,69,0,3.44,mist
111,Hilo,US,19.7297,-155.09,69.62,88,100,4.61,overcast clouds
112,Sept-Iles,CA,50.2001,-66.3821,22.05,74,40,17.27,scattered clouds
113,Torbay,CA,47.6666,-52.7314,30.58,83,100,9.22,overcast clouds
114,Vostok,RU,46.4856,135.8833,15.37,95,100,0.85,overcast clouds
115,Saint-Pierre,RE,-21.3393,55.4781,80.28,69,0,16.11,clear sky
116,Kununurra,AU,-15.7667,128.7333,80.58,78,99,5.75,overcast clouds
117,Mamou,GN,10.5,-12.0,86.41,19,12,7.25,few clouds
118,Cidreira,BR,-30.1811,-50.2056,69.4,77,82,8.39,broken clouds
119,Touros,BR,-5.1989,-35.4608,85.3,51,11,14.65,few clouds
120,Scarborough,GB,54.2797,-0.4044,47.77,92,100,8.99,overcast clouds
121,Manta,EC,-0.95,-80.7333,71.38,88,75,6.91,broken clouds
122,Faanui,PF,-16.4833,-151.75,79.47,75,5,5.39,clear sky
123,Georgetown,MY,5.4112,100.3354,80.53,92,20,2.3,few clouds
124,Daru,PG,-9.0763,143.2092,82.26,81,3,9.4,clear sky
125,Pochutla,MX,15.7432,-96.4661,75.02,78,40,4.09,scattered clouds
126,Eyemouth,GB,55.8713,-2.0901,47.23,78,100,27.74,overcast clouds
127,Torrington,US,41.8007,-73.1212,41.7,64,6,3.4,clear sky
128,Nome,US,64.5011,-165.4064,13.15,85,100,3.44,overcast clouds
129,Billings,US,45.7833,-108.5007,38.97,56,75,10.36,broken clouds
130,Kalaleh,IR,37.3807,55.4916,71.2,28,0,4.61,clear sky
131,Chama,CH,47.1821,8.4636,51.08,65,40,1.14,scattered clouds
132,Aswan,EG,24.0934,32.907,87.37,33,22,8.63,light rain
133,Bandarbeyla,SO,9.4942,50.8122,79.93,68,0,16.42,clear sky
134,Ramsar,IR,36.9226,50.6426,65.64,82,75,6.91,broken clouds
135,Kutum,SD,14.2,24.6667,83.41,16,100,4.45,overcast clouds
136,Tasiilaq,GL,65.6145,-37.6368,32.16,80,100,7.85,overcast clouds
137,Borogontsy,RU,62.6683,131.1683,-16.53,99,100,1.95,overcast clouds
138,Mahebourg,MU,-20.4081,57.7,81.25,69,40,11.5,smoke
139,Acarau,BR,-2.8856,-40.12,85.33,58,98,17.2,overcast clouds
140,Cherskiy,RU,68.75,161.3,-33.79,100,15,1.19,few clouds
141,Severo-Kurilsk,RU,50.6789,156.125,32.76,65,94,25.21,light snow
142,Basco,PH,20.4487,121.9702,81.61,78,100,12.75,overcast clouds
143,Along,IN,28.1667,94.7667,60.8,68,0,1.77,clear sky
144,Waipawa,NZ,-41.4122,175.5153,53.98,79,23,23.06,few clouds
145,Ndjole,GA,-0.1783,10.7649,92.41,48,66,2.06,broken clouds
146,Bubaque,GW,11.2833,-15.8333,83.16,43,0,7.52,clear sky
147,Kenai,US,60.5544,-151.2583,28.15,99,100,5.75,light snow
148,Dharmanagar,IN,24.3667,92.1667,66.83,86,4,1.43,clear sky
149,Dinar,TR,38.065,30.1656,57.16,53,100,20.78,overcast clouds
150,Saucillo,MX,28.0167,-105.2833,53.08,73,100,5.75,overcast clouds
151,Ruteng,ID,-8.6136,120.4721,63.37,87,91,1.03,overcast clouds
152,Nishihara,JP,26.1842,127.7558,72.68,92,100,12.66,overcast clouds
153,Hoima,UG,1.4356,31.3436,72.36,89,82,3.38,light rain
154,Itoman,JP,26.1247,127.6694,73.42,88,75,12.66,broken clouds
155,Mogadishu,SO,2.0371,45.3438,85.87,70,20,14.97,few clouds
156,Narsaq,GL,60.9167,-46.05,43.02,64,100,12.91,overcast clouds
157,Namibe,AO,-15.1961,12.1522,77.54,63,95,11.65,overcast clouds
158,Zhanakorgan,KZ,43.9098,67.2495,51.48,60,100,5.14,overcast clouds
159,Ramnagar,IN,29.4,79.1167,60.89,66,0,4.16,clear sky
160,Vardo,NO,70.3705,31.1107,31.24,83,58,22.12,broken clouds
161,Eugene,US,44.0521,-123.0867,43.39,95,100,5.75,fog
162,Kahului,US,20.8947,-156.47,76.84,76,20,5.75,few clouds
163,Kemin,KG,42.7846,75.6892,39.31,78,92,5.64,overcast clouds
164,Dhidhdhoo,MV,6.8833,73.1,81.55,69,86,10.83,overcast clouds
165,Nioro,GM,13.35,-15.75,94.53,12,14,12.33,few clouds
166,Aksarka,RU,66.5606,67.7975,2.03,91,100,3.51,overcast clouds
167,Kodiak,US,57.79,-152.4072,24.31,58,0,8.05,clear sky
168,Christchurch,NZ,-43.5333,172.6333,55.6,56,0,9.22,clear sky
169,Novikovo,RU,51.1537,37.8879,29.66,87,88,14.34,overcast clouds
